Country,Rank,CoffeeConsumption
Finland,1,12.0
Norway,2,9.9
Iceland,3,9.0
Denmark,4,8.7
Netherlands,5,8.4
Sweden,6,8.2
Switzerland,7,7.9
Belgium Luxembourg,8,6.8
Canada,9,6.5
Bosnia and Herzegovina,10,6.2
Austria,11,6.1
Italy,12,5.9
Slovenia,13,5.8
Brazil,14,5.8
Germany,15,5.5
Greece,16,5.5
France,17,5.4
Croatia,18,5.1
Cyprus,19,4.9
Lebanon,20,4.8
Serbia,21,4.5
Spain,22,4.5
Estonia,23,4.5
Portugal,24,4.3
United States,25,4.2
Macedonia,26,4.2
Lithuania,27,4.1
Slovakia,28,4.0
Czech Republic,29,4.0
Brunei,30,4.0
Honduras,31,3.9
Costa Rica,32,3.8
Israel,33,3.8
New Zealand,34,3.7
Algeria,35,3.5
Ireland,36,3.5
Latvia,37,3.4
Gibraltar,38,3.4
Japan,39,3.3
Bermuda,40,3.3
Hungary,41,3.1
Australia,42,3.0
Bulgaria,43,2.9
United Kingdom,44,2.8
Poland,45,2.4
Romania,46,2.3
Malta,47,2.3
Dominican Republic,48,2.3
Qatar,49,2.2
Haiti,50,2.1
Nicaragua,51,2.0
El Salvador,52,1.9
Jordan,53,1.9
South Korea,54,1.8
Colombia,55,1.8
Russia,56,1.7
Venezuela,57,1.6
Saudi Arabia,58,1.6
Kuwait,59,1.6
Albania,60,1.6
Ukraine,61,1.4
Madagascar,62,1.4
Laos,63,1.4
Armenia,64,1.4
Guatemala,65,1.3
Ethiopia,66,1.3
Georgia,67,1.3
Panama,68,1.2
Mexico,69,1.2
Cuba,70,1.2
Cape Verde,71,1.2
Hong Kong,72,1.1
Tunisia,73,1.1
Gambia,74,1.1
C̫te d'Ivoire,75,1.0
Argentina,76,1.0
Solomon Islands,77,1.0
Oman,78,1.0
Kiribati,79,1.0
Barbados,80,1.0
Morocco,81,0.9
Malaysia,82,0.9
Uruguay,83,0.9
Suriname,84,0.9
Chile,85,0.8
Puerto Rico,86,0.8
Cayman Islands,87,0.8
Bahamas,88,0.8
Vietnam,89,0.7
Philippines,90,0.7
Ecuador,91,0.7
Syria,92,0.7
Saint Lucia,93,0.7
Belize,94,0.7
Tonga,95,0.6
Sudan,96,0.6
Cook Islands,97,0.6
Botswana,98,0.6
Belarus,99,0.6
Thailand,100,0.5